0,365
1,353
2,369
3,357
4,356
5,361
6,373
7,349
8,372
9,352
10,368
11,344
12,381
13,348
14,377
15,345
16,376
17,351
18,375
19,340
20,367
21,343
22,364
23,341
24,380
25,347
26,371
27,336
28,363
29,339
30,360
31,337
32,379
33,334
34,362
35,332
36,358
37,335
38,359
39,333
40,383
41,330
42,366
43,328
44,354
45,331
46,355
47,329
48,378
49,326
50,370
51,324
52,350
53,327
54,346
55,325
56,382
57,322
58,374
59,320
60,338
61,323
62,342
63,321
64,273
65,285
66,269
67,281
68,280
69,277
70,265
71,289
72,264
73,284
74,268
75,292
76,257
77,288
78,261
79,293
80,260
81,291
82,267
83,296
84,275
85,299
86,272
87,297
88,256
89,295
90,271
91,300
92,279
93,303
94,276
95,301
96,263
97,306
98,278
99,304
100,282
101,307
102,283
103,305
104,259
105,310
106,274
107,308
108,286
109,311
110,287
111,309
112,262
113,314
114,270
115,312
116,290
117,315
118,294
119,313
120,258
121,318
122,266
123,316
124,302
125,319
126,298
127,317
128,237
129,225
130,241
131,229
132,228
133,233
134,245
135,221
136,244
137,224
138,240
139,216
140,253
141,220
142,249
143,217
144,248
145,223
146,247
147,212
148,239
149,215
150,236
151,213
152,252
153,219
154,243
155,208
156,235
157,211
158,232
159,209
160,251
161,206
162,234
163,204
164,230
165,207
166,231
167,205
168,255
169,202
170,238
171,200
172,226
173,203
174,227
175,201
176,250
177,198
178,242
179,196
180,222
181,199
182,218
183,197
184,254
185,194
186,246
187,192
188,210
189,195
190,214
191,193
192,145
193,157
194,141
195,153
196,152
197,149
198,137
199,161
200,136
201,156
202,140
203,164
204,129
205,160
206,133
207,165
208,132
209,163
210,139
211,168
212,147
213,171
214,144
215,169
216,128
217,167
218,143
219,172
220,151
221,175
222,148
223,173
224,135
225,178
226,150
227,176
228,154
229,179
230,155
231,177
232,131
233,182
234,146
235,180
236,158
237,183
238,159
239,181
240,134
241,186
242,142
243,184
244,162
245,187
246,166
247,185
248,130
249,190
250,138
251,188
252,174
253,191
254,170
255,189
256,109
257,97
258,113
259,101
260,100
261,105
262,117
263,93
264,116
265,96
266,112
267,88
268,125
269,92
270,121
271,89
272,120
273,95
274,119
275,84
276,111
277,87
278,108
279,85
280,124
281,91
282,115
283,80
284,107
285,83
286,104
287,81
288,123
289,78
290,106
291,76
292,102
293,79
294,103
295,77
296,127
297,74
298,110
299,72
300,98
301,75
302,99
303,73
304,122
305,70
306,114
307,68
308,94
309,71
310,90
311,69
312,126
313,66
314,118
315,64
316,82
317,67
318,86
319,65
320,17
321,29
322,13
323,25
324,24
325,21
326,9
327,33
328,8
329,28
330,12
331,36
332,1
333,32
334,5
335,37
336,4
337,35
338,11
339,40
340,19
341,43
342,16
343,41
344,0
345,39
346,15
347,44
348,23
349,47
350,20
351,45
352,7
353,50
354,22
355,48
356,26
357,51
358,27
359,49
360,3
361,54
362,18
363,52
364,30
365,55
366,31
367,53
368,6
369,58
370,14
371,56
372,34
373,59
374,38
375,57
376,2
377,62
378,10
379,60
380,46
381,63
382,42
383,61
